Title,Score,Comment
21 브릿지: 테러 셧다운,10,믿고 보는 마블사 연기 스토리 모두 좋았다 
21 브릿지: 테러 셧다운,6,나쁘지 않아요~~~* 
21 브릿지: 테러 셧다운,9,긴장감이랑 스릴삼이 넘치면서 재밌네요 
21 브릿지: 테러 셧다운,7,뻔한 내용이지만 전 재밌게 봤어요^^ 
21 브릿지: 테러 셧다운,10,간만에 재밌게봤네요 강추입니다 
21 브릿지: 테러 셧다운,8,뻔해도 재밌음 채드윅 보스만에 색다른 매력 블랙팬서보다 더 멋있음 
21 브릿지: 테러 셧다운,9,"박진감, 긴장감 넘치니 시간가는줄 모르게 봤고 몰입감도 최고였다. 스토리는 클리셰 덩어리도 반전도 어느정도 예상 가능한 반전이지만 킬링타임용으론 최고였음.. 이거 채드윅 보스만이 미드로 만들어서 나온다면 볼 의향있다. 영화가 미드로 만들면 잼있을 구성이었다. "
21 브릿지: 테러 셧다운,8,"연출, 연기력 다좋았고 스토리는 클리셰가 많았고 반전도 영화 집중하면 예상 가능한 반전이었지만 그래도 사건이 벌어지고 긴장감, 박진감, 몰입감이 높아져서 99분이라는 런닝타임이 쉴새없이 지나갔다. 반전도 집중해서 보면 눈치 챌정도의 반전이었고 대단한 반전도 아니었음.. 그리고 총격전 진짜 시원시원하고 좋았다 감독이 준비를 잘하고 연출이 빛났음.. 영화보면서 느낀건데 스토리도 현실을 반영한거 같다는 생각을 했었다. 진짜로 이런일이 있을거 같은 느낌.. 그리고 영어 잘하는 블랙팬서 보니 어색하기도 했음 ㅋㅋ 이사람 미국인이었지?란 생각 ㅋㅋ 결말도 무게감 있게 잘 마무리 한거 같다. 킬링타임용으로는 최고.. "
21 브릿지: 테러 셧다운,9,"긴장감이 상승된 채로 스토리가 전개 됩니다. 초반부터 큰 줄거리가 읽히기는 하는데, 등장 인물들이 보여주는 진심을 알 수 없는 행동들로 사건에 대해 순간 순간 몰입하게 됩니다. 스케일이 크지는 않아도 스토리로는 충분히 빠져들만큼 훌륭했습니다. "
21 브릿지: 테러 셧다운,10,"군더더기 없이 기승전결 확실하고 깔-끔하다극 중 갈등, 해결, 몰입감, 결말까지 좋았다99분 동안 현장을 휘저으며 정의감에 불타는 뉴욕경찰이 되는 영화 "
