Title,Score,Comment
겨울왕국 2,10,역시나 감동적인 명작 미국 애니메이션 강력 추천 합니다!! 
겨울왕국 2,10,영상 퀄리티 장난아님...꼬마덕분에 다시봤는데두번 봐도 재밌다 
겨울왕국 2,10,
겨울왕국 2,10,겨울왕국2 내용은 어른이 봐도 유치하지않고 재밌음 엘사 얼기전에 혼자 노래부르는게 하이라이트 
겨울왕국 2,10,번역이 너무 별로여서 스토리 이해가 어려웠음... into the unknownn부를 때 가사랑 그 노래 부르고난 직후랑 갑자기 엘사의 태도가 바뀌는 거 하며...그래도 올라프는 귀여웠다. 
겨울왕국 2,10,역시노래죽인다..10자너무많은데? 
겨울왕국 2,1,내가 이상한건가.. 개노잼인데 
겨울왕국 2,8,1에 비해 볼 것은 많아 졌지만 억지로 끼우 맞추어놓은듯한 스토리(인과관계의 설정이 다소 부족한)가 느껴져 몰입에 방해가 됨. 그렇다 하더라도 전체적으로 재미있게 본 것은 확실함 
겨울왕국 2,10,
겨울왕국 2,10,개꿀잼 
겨울왕국 2,9,In to the unknoooown 
겨울왕국 2,10,
겨울왕국 2,10,아이들영화이지만 어른인 우리도 재미있게봤어요 
겨울왕국 2,8,정말재미있었어요겨울황국화이팅!!! 쌍천만의 놋라왼기록 
겨울왕국 2,10,
겨울왕국 2,10,기대안하시고 볼수록 감동은 클 거에요 
겨울왕국 2,10,진짜 너무 좋아요!OST가 특히 좋은것 같아요~^^ 
겨울왕국 2,10,아이들이 너무 재밌었다고 하네요~ 큰아이는 또보러 가고싶데요~ 그래서 제가 못바서 저랑 한번더 보기로 했네요~^^ 
겨울왕국 2,10,일반 다른영화보다 더재밌게 보고 나왔습니다. 
겨울왕국 2,10,엘사 물 속에서 말타고 나올 때 대박ㅋㅋㅋㅋ 
겨울왕국 2,10,
겨울왕국 2,10,영상미 연출 ost전부 좋았음 
겨울왕국 2,8,일편의 음악에익숙해선지 그냥그냥 
겨울왕국 2,10,시간가는줄 모르게 감상했네요~^^* 
겨울왕국 2,10,"5살 딸과함께 4번째 봤어요볼때마다 매번 새로운 감동을 느껴요,두번보세요 세번보세요 네번보세요내일 딸과함께 다섯번째 관람 갑니다~~ "
겨울왕국 2,10,음.. 좀 재밋는데 이거 
겨울왕국 2,10,
겨울왕국 2,10,더 화려해진 겨울왕국의 귀환! 
겨울왕국 2,10,역대급 영화인거 같습니다. 재미있고 짱짱한 스토리로 영화내내 지루할 틈이 없었습니다. 영화에 나온 모든 OST는 정말 좋았고 영화를 여러번 봤음에도 매번 새롭고 재미있었다. 
겨울왕국 2,8,재미있고 즐거움이 가득한영화. 
겨울왕국 2,8,재미있고 즐거움이 가득한영화. 
겨울왕국 2,9,언제나 남녀노소 즐길 수 있는 디즈니 영화 
겨울왕국 2,9,기대한것만큼 괜찮았다 나름 곧 뜨겠지만 극장에서 볼만햇음 
겨울왕국 2,10,엘사는 죽었다 살아나서 더 재밌어요 
겨울왕국 2,8,재밌게봤어요 OST도 정말 잘들었어요 
겨울왕국 2,9,뭐 그냥 재밌었음 
겨울왕국 2,10,역시 기대하고 볼만해요 ㅎㅎ 
