Title,Score,Comment
말레피센트 2,10,너무 너무 잼있어요♡역시 안젤리나졸리 언니♡최고♡♡연기대박!!! 
말레피센트 2,1,"영화 리뷰 유튜버들도 괜찮다고 해서 믿고 봤는데 .. 그 유튜버들 돈받고 리뷰한거같더라구요,,, 결말도 완전 이상하고 사이다 장면이 없어요 ㅜ "
말레피센트 2,8,졸리가 다한영화.. 머리푼거 대박이였고 오로라는 키워준사람 안믿고 발암해서 중간에 짜증난거 빼곤 괜찮았다 다들 요정죽은거 얘기하는데 파란 요정이 드레스색 바꿔준거보니까 다시살아남여 
말레피센트 2,10,재밋어용 
말레피센트 2,5,오로라 호구로 인해 많은 이가 고생을 한다. 보는 사람의 정신건강에 까지... 
말레피센트 2,1,오로라랑 왕자랑 끼리끼리 잘 만났네 버러지들끼리 다 죽여버려야됨 
말레피센트 2,8,말이되고 안되고를 떠나서 ~ 1편보단 낫더라~ 
말레피센트 2,1,수준이하의 영화. 
말레피센트 2,10,악평다는 관람평 대부분이 좋아요보다 싫어요 과반수네 이유 아시는분?윌윌윌~ 
말레피센트 2,1,오로라 너무 발암이네요 .. 말레센트도 오로라 때문에 피해입고 굳이 그 앞에서 멍 때리면서 가만히 있다가 밀쳐져서 떨어지고 개 발암 오로라 그냥 죽엇으면 좋겟다는 생각이 너무 들엇음 
말레피센트 2,3,오로라 핵발암 캐릭이다 진짜 뭐 저런 지지베가 다 있는지? 
말레피센트 2,5,당황스러울 수 있는 급작스런 결말 
말레피센트 2,1,여주인공.왕자.왕자어미. 3명 죽길 바라면서 보았습니다.  아무도 죽지  않아서  우울하네요. 
말레피센트 2,6,동화 같은 영화. 아이의 눈으로 봤을 때는 환상의 나라 아름다운 이야기. 어른의 눈으로 봤을 땐 발암유발 철 없는 딸내미. 전쟁에 의해 수 많은 죽음. 옆에서 동료들 죽어나갈 때는 그렇게 분노하더니 여왕은 그저 염소가 될 뿐. 화해의 한마디에 행복한 결혼. 개연성 1도 없다 0. 그저 말레피센트가 졸리가 여전히 멋있었을 뿐이다. 
말레피센트 2,4,졸리 때문에 4점 준다.요정들 대학살당하고 방금 전까지 서로 죽어라 싸웠는데 갑자기 화해하고 당일 결혼식? 머리에 6G깔았냐? 차라리 북한에 핵 터뜨리고 평화통일하지그래.오로라는 발암이었다. 여왕으로서 책임감도 자존심도 없어. 뉘예뉘예 하다가 통수맞고 이를우째하는 꼴이라니. 
