Title,Score,Comment
미드웨이,10,최고최고  꼭 보세요 정말하여간 일본 ㅋ;;;; 노답 
미드웨이,8,"연기는 볼게 없고 연출은 좀 뻔하고 스토리는 너무 중구난방 다루다보니 어수선하다고 느낌 위주다.  cg도 진주만(19년전 영화)이랑 비슷한 느낌. 하지만 웅장한 비행사운드와 가상이 아닌 실제있었던일, 미국과 일본에 작은 생각과 인권의 차이가 전쟁에 승패를 거든것만 같았음 "
미드웨이,10,전투신  단연 최고였어요    ♡♡ 
미드웨이,10,일본 개발리는거 개꿀잼.한편으로 일본이 그 시대 태평양전쟁을 할 수 있는막강한 군사력을 한편으로 부럽기도 해서 씁쓸하다. 
미드웨이,10,다들 보세요ㅠ  최고입니다 
미드웨이,6,왜 이렇게 일본을 미화시키는거같지? 보는내내 불편함 역사적 사실을 어느정도 익히고 가면 일본 미화시키는게 눈에보임. 
미드웨이,7,"괜찮은 화면 때깔, 절제된 이야기 톤이 좋다. 다만 더 강력했음 하는 전투 사운드의 볼륨, 구심점이 흐릿하게 나열된 시퀀스 배치는 아쉽다. "
미드웨이,9,너무 급폭기 대대에만 집중되어서 아쉬웠음 급폭기가 성공한건 진짜 극악의 생존률을 보였던 뇌격기대대인데 
미드웨이,7,보다가 졸았다 기대이하 
미드웨이,10,개꿀잼인데 처음부터 끝까지 지루한 장면이 없고 갠적으로 진주만보다 재밌게봄 전쟁영화 좋아하면 개강추 
미드웨이,10,"미드웨이를    I-MAX 같은  특별관에서   상영해야지.      백두산은  일반상영관으로  돌려라.        미드웨이는  인터넷  예매할때  나오는   포스터사진  다른걸로  바꾸자.               상단에  6명  얼굴  나오고,      하단에  비행기  나오는  사진  좋던데,                      그  사진으로  바꿔라. "
미드웨이,4,평론가점수가 짠이유가 있음  솔직한평 초반부일본공습해올때 cg멋지고 기대했는데 중후반부 지루한감이 있음 엔딩도 허무함 암튼 스토리별로임 예전 진주만이 훨 재밌었음 일본 미화시키는쓰레기영화임 나알바아님 
미드웨이,10,
미드웨이,3,이영화를 보면서 9년에 봤던 진주만 영화가 문득문득 떠올랐다. 내용은 비슷해도 그동안 발전된 영상미를 기대했지만..크게 발전된 액션은 없었고 스토리도 오히려 9년전 보다 못한듯하다..일본을 미화시키고 미국의 영웅주의가 믹스된 영화다.. 
미드웨이,10,사실 인물에 역사를 알게되어 아들과 뜻 깊게 보았습니다~ 
미드웨이,10,
미드웨이,10,오랜만에  썩 괜찮은 영화한편 보았네요 굿! 
미드웨이,10,보고나서 느낀 점 편집은 에러 나머지는 취향탐 평소 2차대전 다큐 즐겨보는 사람들이라면 강력추천 진주만같이 전쟁로맨스를 좋아하는 사람들이라면 정말 비추 영화 자체가 남성향이라 정말 건조함 아무튼 편집빼면 취향 탐 씨지는 생각보다 잘나옴진주만씬이 아쉽다고하는 분들도 계시는데 2001년 영화 진주만 생각하며 보면 안됨  미드웨이는 씨지를미드웨이해전에 올인함 진주만은 겉절이 
미드웨이,10,
미드웨이,10,
미드웨이,10,북한이 영웅으로 나오고 미국이 적으로 나오고 한국이 쩌리로 나오는 백두산 안본 눈 삽니다 
미드웨이,8,다 터지고 부수고해서 속은 시원합니다. 다만 그게 전부라 좀 아쉽습니다... 
미드웨이,1,그냥 2시간동안 줄줄 총소리만 들리다 끝나는 다큐멘터리 영화. 지루하고 재미없음 .차라리 백두산이 더재밌음 
미드웨이,5,Cg가 2019년 영화라고 하기엔 믿을 수 없을정도로 구림.세부적인 스토리 구성 미흡.진주만공습당시 일본기들이 기관총만 쏴대는데 전함들이 터지는것이 말이 안됌.더 퍼시픽이나 진주만은 실제 전투씬에서 현장감이 생생하게 느껴지는 반면에 이 영화는 마치 그래픽 좀 잘나온 게임같은 느낌이 들었음. 특히 전투기끼리 치고박는 도그파이팅때..좋은 소재를 가지고 졸작이 된 여러모로 크게 아쉬운 영화 
미드웨이,10,기대안하고 봤는데 완전 꿀잼 
미드웨이,8,ㅇㅇ재밌어용ㅎㅎ~~ 
미드웨이,10,
미드웨이,10,가장 어려운 난이도의 오락실 1945 
미드웨이,10,친북반미 백두삱보기싫어서 미드웨이로 선택햇는데 탁월한판단이엿다. 백두산 후기댓글 보소~ 
미드웨이,8,공중전 폭격신은 볼만했음 
미드웨이,10,영화 진주만을 새롭게 더 자세히 해석한 대작이다. 
미드웨이,4,전범국을 너무 미화함. 
미드웨이,10,
미드웨이,9,쩍바리들은 축구든 영화든 항상 쩍 찢어줘야 제맛!! 
미드웨이,1,CG겁나 허접하네 특히 진주만때 
미드웨이,10,2시간동안  마이클베이 비행기를 타고 일본을 쳐부수는영화..와이프왈:와 전쟁영화도재미있네!!! 
미드웨이,8,영화관가서 보니 몰입도되고 여운도 남고 
미드웨이,9,"출연진 너무 괜찮고, 스토리 짱짱하고정말 재미 있습니다.진심 강추^^사실적인 묘사와 실화를 바탕으로 해서인지정말 손에 땀을지고 봤고, 역사 공부도제대로 한거 같아 너무 좋았습니다.일본의 야욕, 만행을 제대로 표현하고거기에 벌을 받는 모습이 정말 통쾌합니다.좋은 영화 감사합니다. "
미드웨이,5,스토리 전개가 매끄럽지 못하고 좀 끊기는 느낌?지루함이 있고 영화보는 내내 옛날 진주만 영화가 참 잘만들었구나 생각나더군요 
미드웨이,9,에머리히 감독이라서 무시하고 봤다가 한방먹었네요. 1억불제작비로 이런 영상이 가능한가? 이런생각이 계속 들었어요. 곁가지쳐내고 묵직함으로 승부하는 전투액션수작 
미드웨이,10,분명히 러닝타임 내내 한장면도 빠짐없이 집중해서 다 봤는데 다시 영화관가서 또 보고 싶은 영화는 미드웨이가 처음이다.. 
미드웨이,10,졸린데도 눈뜨고 계속 봣어여 무조건 보세요! 
미드웨이,10,"전쟁영화를 보면서 예술성 어쩌구 게소리 해대는 영화평론 하는 넘들이 있던데.... 전쟁영화는 스케일, 영상미, 몰입도 이 세가지만 만족시켜주면 돼.  이제 것 본 전쟁영화중 수작 3편만 뽑으라면 라인언일병 구하기, 밴드 오브 브라더스 그리고.... 미드웨이 ! "
미드웨이,10,한순간도 눈을 뗄수도 없었다 
미드웨이,5,큰 스케일에 박진감 넘치는데 딱 그뿐이다 지루함 
미드웨이,10,캣츠 백두산 시동 잘거르고 포드v페라리에 이어서 재밌는 영화 봤다... 두말 필요없이 나오면서 관객들 다 재밌다 지린다 쩐다 소리밖에 안함. 
미드웨이,10,이 영화가 1등이다!!!그냥 봐라~~돈 아깝다는 생각 안든다!!! 
미드웨이,10,진주만 보다 100만배 잼있다 꼭 보세요  ㅋㅋ 
