Title,Score,Comment
백두산,10,"이병헌 하정우 연기 참 잘함이병헌은 후 ㄷ ㄷ 영화를 정치랑 관련해서 평점 테러하는 인간들 수준이 저질이지 영화는 영화만으로 재밌었고  우리나라에서도 이런 높은 수준의 재난영화를 만들수 있다는거에  놀랐음.하지만, 마지막 엔딩은 조금 개연성이 부족했음.무슨일이 일어나는지 아무것도 몰랐던 국민들이 박수치는건 좀 억지.. 그 부분에서 좀 의아했음.영화 잘 만들었고 연기자들 연기도 좋았고 극장가서 돈 아깝단 생각없이 볼만한 영화. "
백두산,1,평점 왜이리 높은겨?? 
백두산,1,역시 남북공조하는 영화는 믿고 걸러야된다.. 왜 종북좌빨주사파 정권이 나올때마다 이런 영화만 찍어대냐?.. 문화계도 좌파가 점령하다니 최악이다.. 왜 남산의부장들은 잘될거라고 생각함??? 이명박 까는 영화도 나왔으니까 노짱 슨상님 까는 영화도 만들어주라 제발ㅎㅎ 음 그럼 큰일나려나??ㅋㅋㅋ 
백두산,2,정말 재미없음 쓸데없는 개그나 치고 있고 긴장감 1도 없고 이런 배우들 데리고 돈아까운 영화 
백두산,1,해운대 백두산 버전 
백두산,2,결말이 정치적인 편향이 있음. 다소 불편할 수 있음. 
백두산,1,"전형적인 반미 친북 좌파 성향 쓰레기 3류 영화입니다. 이정도의 자본과 배우들로 이 따위 영화 밖에 만들수 없는 국내 영화 산업도 이제 끝났네요. ㅋㅋㅋ 미국 애니메이션 ""겨울왕국2"" 가 왜 1300만명 이나 넘게 보는지 아직도 깨닫는게 없는건가요? 이 따위 영화 밖에 못만들면서 무슨 스크린 독점 운운 하면서 매우 잘 만든 외국 영화, 외국 애니메이션을 디스나 하고 유치한 때쓰기 발언들이나 하고 있습니까? ㅋㅋㅋ 이런 한심한 짓을 하기전에 외국 영화나 외국 애니메이션을 평가와 실력으로 뛰어넘을 생각부터나 하세요. ㅋㅋㅋ "
백두산,1,이건 좌파들이 만든 영화인가보네~우리나라에 주적은 북한이고 미국이 최우방인데~~어쨰 거꾸로 만들었네요~최고급 스타 배우들로 3류 영화수준으로 만들고 홍보만 요란하게하고~~완젼 비츄네요~~~~주위 사람들에게 절대 보지말라고 권하는중~~~~ 
백두산,10,이병헌 연기에 10점드립니다 
백두산,1,쓰레기 삽똥 영화입니다 절대보지마세요....제발....이런게 흥하면 앞으로 똥영화가 쏟아질까봐 걱정이 됩니다 
백두산,8,영화 볼만하구만 평점 왜저럼 영화 보긴본거?잼있으니까 보세요 오히려 더 현실적이고 배우들 연기좋아요 
백두산,1,명 배우들 가지고 영화를 이따구로 만드나 진짜 돈 아깝네 보는 내내 너무 재미없어서 극장 나오고 싶을 정도 
백두산,1,정말 시간 잘 안가는영화... 
백두산,4,수지랑 하정우 로맨스 없어서 다행.. 
백두산,2,이런게 1위라니 이해가 안되네 
백두산,1,
백두산,1,핵쓰레기는 이런걸 두고 하는 말인가? 
백두산,1,내가 1점준 이유는 0점이 없기 때문이다 
백두산,2,아 사랑니뽑아서 통증을 잊으려고 본 영화가재미없어서 아픈것에 더 몰입이 됐네짜증납니다 
백두산,8,중간중간 코믹한 부분도 있고 지루하지 않게 잘 봤습니다 다만 아쉬웠던 점은 초반에 폭발일어날 때 차타고 가는데 계속 부딪히고 그러는데 차만 멀쩡해서 자동차 광고 보는 것 같았습니다...그 것 말고는 좋았습니다 특히 배우들의 연기력이 최고였어요~!! 
백두산,1,10분보고 스토리 진행을 예상했고 리준평 가족사듣고 결말을 알았다 
백두산,1,영화 보내 내내 한숨만 쉼 
백두산,10,쿠키영상 쀼띠빵띠 ㅋㅋㅋ 
백두산,1,오 대통령이 북한 찹찹해주니까 영화랑 드라마도 계속 이런거만 나오네 ㅋㅋㅋ 
백두산,1,그냥 어린이용.이 영화를 보시고 희생한 700만 관객자분들께 심심한 조의를 표합니다. 
백두산,2,스토리가 뭔가 뻔하고 인과관계도 부족하고 배우들의 연기력은 훌륭했으나 스토리가 많이 아쉬웠음.. 
백두산,2,
백두산,1,하정우 이병헌 마동석 등 이런대단한배우분들을 데리고 이런 영화밖에 안되나요? 실망입니다 
백두산,2,국군을 무능하고 어리석게 의도적인 반미가 깔린영화 
백두산,8,기대 했던거보단  재밌진 않았네용 
백두산,6,"감동없구 (그려지는 뻔한 스토리)중간에 지루한,,기대하고 보면 안됨딱 네이버 평점 그 정도- (7점대) "
백두산,6, 원래 이런거 안보는데 펭수때문에 봤어요! 
