Title,Score,Comment
시동,4,원작이 있는 영화를 원작을 잘살려도 본전인데... 원작을 뛰어넘는 내부자들급은 아니지만 디테일은 살리기를 바랬는데... 대사하나하나가 성의가 없이 내뱄는다... 
시동,8,기대 일도 안했는데 평양냉면 마냥 그냥 어느새 젖어드는 영화 
시동,6,분명 재미는 있는데 무슨내용이죠..? 
시동,2,끝이 허무하고 뭔 내용인지 모르겠어요 배우들 연기 잘해서 점수 줍니다 
시동,1,평점 처음 남기는데 영화보고 이건 아니다 싶어서 글 남김. 요구하는 컨셉이 도대체 뭔지. 무슨생각으로 제작된 영화인지 스토리도 엉망이고 마동석캐릭터 질림. 억지웃음 끌어내려는 대사들 유치하기 짝이 없음. 졸다가 영화본거 진짜 오랜만임. 시작부터 끝까지 스토리가 뒤죽박죽 엉망 그자체. 명절에 집에서도 안볼 영화임.;;차라리 100번본 나홀로 집에를 101번 보는게 낫겠음. 처음 만든 영화도 아니고 .. 보면서 어이없는 실소뿐. 간만에 OOO 영화 봄. 멀쩡한 배우들만 망침. 지극적 내생각 ;;; 
시동,10,웃으면서 편하게 봤고 그와중에도 생각하게끔 하는 영화입니다~또보고싶은 생각이 드네요~ 
시동,8,유쾌하게재밌게봤어요~ 
시동,8,특별한 내용꺼리는 아니지만 그럭저럭 이랄까 드라마보는 정도였디ㅡ고 해야 맞겠네요~ 
시동,10,
시동,10,오랜만에 진짜 웃으면서 봤어요 재밌어요!! 
시동,4,그냥 가볍게 볼만합니다. 
시동,10,별로일 것 같단 선입견으로 안보고 있었는데 오늘 보고 오니 최근 본 영화들 중 제일 재밌다일단 보러가보세요 후회 안 합니다 
시동,8,마동석 박정민 정해인연기 잘하네요 스토리면에선 그저 그렇지만연기자가 영화를 살렷네요 
시동,8,마동석이 다 한거 같은데 
시동,1,아!!!!내돈!!!내놔!!!! 
시동,10,정말 재미있었습니다. 박정민의 찌질함이 너무 인상적이에요. 
시동,8,재밌음....그런데 마무리가 허술..  그냥 시간 때우기는 좋음 
시동,8,좋습니다 굿 괜찮았습니다 
시동,8,
시동,4,킬링타임용으로 좋단 거에 10점을 주는 건 대체 무슨 개념이지. 시간없을때 먹기 좋단 이유로 라면에 미슐랭 별점 5점 주는 거랑 같은 개념임? 네이버평점이 그다지 의미있는 점수인건 아니지만 이런 쓰레기작품이 돈을 벌 수는 있을지언정 점수까지 챵겨주는건 좀 너무 간 거 아닌가 
시동,10,아들 키우는 엄마라서 그런지 중간중간 눈물 참느라 혼났네ㅠㅠ 일단 박정민하고 배우들 다 찰떡같이 연기 잘한다..기대안하고 봐서 그런지 꽤 잘만들어진 영화같다 또보고싶다..그땐 휴지가져가야지 
시동,1,평점보구갔는데 노잼이네요 
시동,8,부담없이 가볍게 웃을수 잏는영화 
시동,6,재미없음...유치함 
시동,6,2005년도가 생각나는 옛날 연출. 엉성한 스토리. 뜬금없는 훈훈한 결말. 이게 왜 박스오피스 3위인줄 모르겠네요. 웃긴포인트가 없는건 아닌데 너무 여러가지를 영화에 녹여내려다 실패한 케이스라는 생각이 듭니다. 후하게 6점. 
시동,1,"내가 살다살다 네이버 영화 리뷰는 처음써봄. 이거 보려는 사람들 제발 보지 마세요. 저 좋은 배우들 갖다놓고 이렇게밖에 못쓰나?싶음.애초에 가볍게 보려고 들어갔는데 영화 보는 내내 가볍게는 커녕 재미가 너무 없어서 계속 하품나오고 핸드폰 만지고 싶어 죽는 줄 알았음. 그리고 15세던데 잔인한 장면 많이 나와서 당황..;; 전반적으로 영화가 말하고자 하는 바도 모르겠고ㅋㅋㅋㅋ 진짜 너무 노잼이라 말을 잇지 못하겠음. 부모님이랑 봤는데 욕도 너무 많고, 쓸데없이 웃기려고 or 자연스러워 보이려고 욕을 하는 게 티나서 더 듣기 거북했음.네이버 영화 평점에 댓글 알바 어쩌고 하는 거 안 믿었는데 이 영화 보고 평점 보니가 댓글알바가 있구나~싶음. "
시동,8,연기구멍 하나도 없이 찰진 코믹ㅋㅋㅋ 스토리도 나름 괜찮음!! 끝에 좀 급하게 감동앤딩으로 끝나는 감이 있지만 그래도 돈 주고 볼만한 영화!!!! 고민하시는 분들 보세요!!!! 
