Title,Score,Comment
천문: 하늘에 묻는다,8,또 한석규가 왕이야? 또 최민식 주연이야? 배우가 이렇게밖에 없나?하고봤는데 보다보니... 최민식만 할수있는거였네.... 한석규밖에 없었네... 했습니다. 
천문: 하늘에 묻는다,10,감동 그 자체입니다. 보고 나오는 내내 먹먹함이 가시질 않네요. 
천문: 하늘에 묻는다,10,정말 최고의 영화!!열번은 더보고싶은돈이 아깝지않다!! 
천문: 하늘에 묻는다,10,"감동적인 스토리와 배우들의 명연기로 보는 내내 즐거웠습니다. 진짜 한석규, 최민식 연기에 소름~!말 한마디에 눈물이 주룩ㅠㅠㅠㅠ 감사합니다. 좋은영화 좋은연기 보여주셔서~!♡♡♡ "
천문: 하늘에 묻는다,10,백두산 내리고 천문 틀어라! 민식이형 석규형 구할아버지가 다찍었다이씨조선은 그래도 세종 때문에깔수가없다! 정말 대단한분이시다 
천문: 하늘에 묻는다,10,역시 믿고 보는 두 배우님♡꼭 입소문으로 오래오래 흥행했으면 좋겠습니당♡새해부터 좋은 영화봐서 기분이 좋네요♡새해 복 많이 받으세용♡ 
천문: 하늘에 묻는다,10,재밌게 보았습니다. 감동적인 장면도 많았구요. 배우들 연기 보는 맛도 좋습니다. 
천문: 하늘에 묻는다,10,눈으로 대화하는 두배우ㅜㅜ 
천문: 하늘에 묻는다,9,간만에 웰메이드 영화 제대로 봐서 매우 만족스럽네요 
천문: 하늘에 묻는다,1,노예제도를 만든 세종은 과연 성군인가? 
천문: 하늘에 묻는다,10,"한석규 , 최민식 연기 대박입니다 "
천문: 하늘에 묻는다,10,관객수가 왜 이런가요? 많이 봐주세요~~ 
천문: 하늘에 묻는다,10,
천문: 하늘에 묻는다,4,배우들 연기는 좋았으나 스토리라인이 너무 단조로움 보는 중간에 언제 끝나는지 시간을 계속 보게 되었네요 
천문: 하늘에 묻는다,8,"두배우의 연기와 조엿들의 감초연기도 좋았다, 근데 이걸 2시간 넘게보는건 좀 지루한듯.런닝타임을 좀 줄였으면 좋을듯.긴장감 부족 "
천문: 하늘에 묻는다,10,허준호 김태우도 짱누구하나 빠지지않고 정말 쟁쟁하네요 
