Title,Score,Comment
캣츠,2,캣츠는 역시 뮤지컬.. 
캣츠,1,평점이 너무 높아 낮추러 왔습니다. 
캣츠,4,돈내고볼만한건안됨 비추천 
캣츠,2,와.. 캣츠 물러가라 물러가라 
캣츠,2,실제 뮤지컬에 나오지 않는 바퀴벌레?가 뜬금없이 나온다. 그래서 메모리즈라는 노래만 대충 듣고 간다. 애용 애용 김애용~~ 차라리 김애용 나오는 좀비딸 보세요^^ 
캣츠,7,난 괜찮았어요. 애초에 영화라 생각하지 않고 뮤지컬이라 생각하면 몰입하기 좋습니다. 2시간 내내 노래인데 노래들간의 유기성이 좋아서 마음에 들었습니다. 물론 아쉬운점도 있고 특히 CG측면에서 사람들이 왜 거부감을 갖는지 이해할 수 있었지만 저는 영화 나쁘지 않게 봤습니다. 한번쯤 볼만하다고 생각합니다. 
캣츠,2,꼭 보세요‥우리부부만 시간낭비해서 억울할수없으니까;;;  설마 곧 한방이 있겠지 졸음참아가 며 버티다 끝나버린영화. 뮤지컬명성에 심각한 훼손. 
캣츠,8,하나하나 말해볼게영연출 = 솔까 이건 볼것도없어요연기 = 좋습니다스토리 = 있나요?영상미 = 연출이랑같이가야죠 그럼 뭐겠습니까Ost = 기본 Cats의 노래가 좋죠 하지만 Memory 정말 사람울리는 노랩니다 거기서의 연기가 정말 좋습니다 노래가 이미 아는거니까 처음들을땐 싫었는데 마지막때 정말 감탄했습니다 노래 Ost는 단 한명이 다만든다하고왔습니다 로비 페어차일드 찐자 이 배우를 왜몰랐지 하고있었네요 대충이렇게 생각하심 편하실듯합니다 
캣츠,1,진심으로 흉물스럽다. 
캣츠,2,정말 자다가 나왔어요 ㅠㅠ 
