Title,Score,Comment
포드 V 페라리,10,오랫동안 기억에 남을 최고의 영화 
포드 V 페라리,8,정말 화끈했던 만큼 마지막에 너무 아리다.. ㅠㅇㅠ 
포드 V 페라리,1,8.5점 줄 영화다. 평이 너무 과해 빵점 준다.여자가 운전하는 장면부터 뭐 이따위 영화가 있지?라는 생각에 짜증 가득한 상태로 끝까지 보았다.그녀는 아내이고 아이의 엄마다. 남편에게 조곤조곤 물으면 될 일을 난폭 운전으로 목숨 걸고 발광을 한다. 이런 me친련을 보았나. 저게 엄마라니. 
포드 V 페라리,9,
포드 V 페라리,10,너무 재밌습니다 정말  재미있게 봤어요 꼭 보세요 
포드 V 페라리,10,엔딩 크레딧 올라갈때 마음속으로 기립 박수를 치고 있었다.연말 연초 영화 홍수 속에 진정 제대로 된 영화 한편 감사 ♥ 
포드 V 페라리,10,멋진영화 한번 더 보고 싶다! 
포드 V 페라리,10,
포드 V 페라리,9,감동적이에여 ㅜ 배우들 연기도.. 
포드 V 페라리,10,
포드 V 페라리,10, 켄이 경기 중일때 켄이 집중하고 속도 내는 순간마다 주변소음을 다 줄이고 켄의 긴장감있는 숨소리만 들려주는 순간이 나타나면 나는 정말 숨도 못쉬고 켄의 숨소리에 맞춰 똑같이 숨쉬게 됨... 베일이랑 멧데이먼 둘다 연기 미쳤다 
포드 V 페라리,10,진짜 스크린독점에 밀려서 빨리 내려온 영화라는게 아쉽다.. 정말 흡입력도 뛰어나고..  영화를 본다음 가슴이 뛴다 라는것을 오랜만에 느꼈다.. 사운드랑 영상미 때문에 영화관에서 봐야될 영화인데..  ㅠㅠ 
포드 V 페라리,10,"미친 연기력, 흥미로운 스토리 그리고 뛰어난 연출력의 정수~!! "
포드 V 페라리,10,
포드 V 페라리,9,영화관에서 봤으면 더 재밌었을듯! 
포드 V 페라리,10,cj가 극장 독점하니  쓰레기 같은 백두산이 1등을 해 먹는거다!!! 이 영화 백두산과 비교 불가다~~~!!! 
포드 V 페라리,10,30대 줌마 혼자 재밌게 보고왔네요 
포드 V 페라리,9,
포드 V 페라리,10,보는 내내 긴장을 놓을수 없던 잘 만든영화..  임원이란 놈들이 얼마나 회사에 나쁜놈들인지는 덤.. 
포드 V 페라리,10,상영관이 적어 백두산만 보고 이거 안본 사람들은...자신이 얼마나 큰 사기를 당한건지 모를거다.인생영화가 될 만한 엄청난 영화다. 꼭 봐라. 
포드 V 페라리,10,Wait for Wait for Now 
포드 V 페라리,10,페라리가 빌런이 아니고 포드가 빌런이였다니단순한 오락영환지 알고 봤다가 두 연기장인들에게 속아서 행복합니다 
포드 V 페라리,10,"정말 오랫만에 극장에서 본 영화인데, 너무 재미있게 봤어요. 맷데이먼과 크리스찬 베일의 연기는 너무 완벽했고, 연출과 각본 또한 완벽했어요. 가슴뛰는 레이싱 장면이 정말 압권입니다. 또 한번 더 보고 싶네요~ 더할나위 없이 완벽한 영화였습니다. "
포드 V 페라리,10,"감동적인 영화, 영화다운 영화. 내인생에 몇개 손꼽히는 "
포드 V 페라리,9,진짜 재밌어요ㅋㅋㅋㅋ 액션 좋아하면 십점 거뜬히 줄 듯 +페라리 회장님 멋있음 
포드 V 페라리,10,최근 몇년간 봤던 영화중 탑3 
포드 V 페라리,10,이걸 만원주고 보기 미안할 따름. 영상도 미쳤지만 두사람 연기도 미쳤다~~또 보고싶다~~ 
포드 V 페라리,10,인생 no1영화가 되엇어요 
포드 V 페라리,10,2020년 1월 올해 33살인데 태어나서 이렇게 긴장감 있고 흥미진진한 그리고 알 수 없는 감동까지.. 이런 영화는 처음이네요. 기대 안 하고 왔다가 재미에 감동까지 받고 갑니다. 
포드 V 페라리,9,자동차와 질주본능 완벽한 남자들의 영화 
포드 V 페라리,10,"일단 저도뭐 평점먼저보고 영화보는사람입니다만,,, 이건진짜 꼭보세요 cgv관람권 2장있었지만 그냥 돈내고서 4D로본거 절대후회안합니다 오히려 포인트써서 할인받은게 부끄러울정도로요.. 이제 이영화 안본사람들이랑은 대화 안할렵니다. 내용은뭐 여러분들이 보시면 아실거구요 나름 영화에있어서 굉장히 엄격한사람이지만 이영화 2시간반 보면서 절대 시간 오래간단생각 안했구요 그냥 한시간쯤 지났나 싶은데 영화 끝났습니다. 무조건 극장가서 4d로 보세요 무조건입니다 "
포드 V 페라리,10,연출이며 연기며 스토리며 영상미며 사운드며 OST며 모든게 완벽했다. 분노의 질주보다 훨씬 재밌고 애니메이션 카 시리즈 이후로 오랜만에 보는 명작 레이싱 영화를 본듯. 
포드 V 페라리,10,진짜 내 몸안에 피가 끓는듯한 스릴감을 느꼈다.시간 가는 줄 모르고 봤다 
포드 V 페라리,10,
포드 V 페라리,10,세븐 따우잔드 비퓌엠만큼 재밌습니다 꼭 보시길 ! 
포드 V 페라리,10,걍 연기 연출 모든것이 다 지린다 
포드 V 페라리,10,너무 재밌다 너무 잘만들었다 했더니 로건 감독님이셨네.. 영화가 실화기반의 레이싱영화로서의 완성도와 재미도 높지만..보고나면 좀 씁쓸하기도 함. 개인의 꿈과 노력이 재벌총수 ceo의 기분내기용 혹은 사진 한장 남기기 보다 중요치 않다는것.. 영화는 첫장면을 보는 순간 이 영화가 앞으로도 재밌을거라는걸 알게됨. 꼭 보세요. 한국영화 제작자들 신파 없어도 로맨스 없어도 싸이코패스 안나와도 이렇게 심장이 터질듯이 재밌어요. 제발 억지 신파 억지 감동 그런 쓰레기 기획으로 몇십억 몇백억 들여 쓰레기 만들지 말아요. 
포드 V 페라리,9,지루하고 뻔할 수 있는 레이싱이라는 주제를 두손쥐게 볼줄 몰랐다... 미쟝센이 터지다못해 흘러넘치고 ost도 거든다. 마지막엔 반전도.. 
포드 V 페라리,9,레전더리한 스토리. 영화가 스토리빨을 받았다. 
포드 V 페라리,10,삶에서 감동을 받는 순간들은 행복을 느끼게 합니다. 정말 오랜만에 감동이 다가오는 영화를 봤습니다. 근래에 만나기 어려운 좋은 영화입니다 
포드 V 페라리,10,"중간에 맷데이먼이 ""안녕하세요""라고 하는데 실제 쉘비의 디자이너중에 한국인이 있었다고 그래서 넣은거라고 하네요. 고증 갑임 ㅋㅋㅋ "
